"INSTID","UKPRN","ProviderName","CountryCode","CategoryName","FE_Provider","Rescinded"
"0001","10007773","The Open University","E","England - Approved (Fee Cap)","","0"
"0002","10007822","Cranfield University","E","England - Approved (Fee Cap)","","0"
"0003","10007777","Royal College of Art","E","England - Approved (Fee Cap)","","0"
"0004","","The College of Guidance Studies","E","","","1"
"0006","10007836","The Royal College of Nursing","E","","","1"
"0007","10007811","Lincoln Bishop University","E","England - Approved (Fee Cap)","","0"
"0008","","Bretton Hall College of HE","E","","","1"
"0009","10000975","Buckinghamshire New University","E","England - Approved (Fee Cap)","","0"
"0010","10007816","The Royal Central School of Speech and Drama","E","England - Approved (Fee Cap)","","0"
"0011","10007848","University of Chester","E","England - Approved (Fee Cap)","","0"
"0012","10001143","Canterbury Christ Church University","E","England - Approved (Fee Cap)","","0"
"0013","10007713","York St John University","E","England - Approved (Fee Cap)","","0"
"0014","10037449","University of St Mark and St John","E","England - Approved (Fee Cap)","","0"
"0015","10001856","Dartington College of Arts","E","","","1"
"0016","10007823","Edge Hill University","E","England - Approved (Fee Cap)","","0"
"0017","10008640","Falmouth University","E","England - Approved (Fee Cap)","","0"
"0018","10040812","Harper Adams University","E","England - Approved (Fee Cap)","","0"
"0019","10003138","Homerton College","E","","","1"
"0020","10003574","Kent Institute of Art and Design","E","","","1"
"0021","10003614","The University of Winchester","E","England - Approved (Fee Cap)","","0"
"0022","","La Sainte Union College of HE","E","","","1"
"0023","10003956","Liverpool Hope University","E","England - Approved (Fee Cap)","","0"
"0024","10007162","University of the Arts, London","E","England - Approved (Fee Cap)","","0"
"0025","","Loughborough College of Art and Design","E","","","1"
"0026","10007152","University of Bedfordshire","E","England - Approved (Fee Cap)","","0"
"0027","10007138","The University of Northampton","E","England - Approved (Fee Cap)","","0"
"0028","10007832","Birmingham Newman University","E","England - Approved (Fee Cap)","","0"
"0029","","North Riding College Higher Education Corporation","E","","","1"
"0030","10005389","Ravensbourne University London","E","England - Approved (Fee Cap)","","0"
"0031","10007776","Roehampton University","E","England - Approved (Fee Cap)","","0"
"0032","10005523","Rose Bruford College of Theatre and Performance","E","England - Approved (Fee Cap)","","0"
"0033","10007835","Royal Academy of Music","E","England - Approved (Fee Cap)","","0"
"0034","10007778","Royal College of Music","E","England - Approved (Fee Cap)","","0"
"0035","10007837","Royal Northern College of Music","E","England - Approved (Fee Cap)","","0"
