"University Name","Root Domain","Financial Data Page","Example Direct PDF Link","Notes"
"University of Oxford","www.ox.ac.uk","https://staff.admin.ox.ac.uk/article/universitys-annual-report-and-accounts-published","https://www.ox.ac.uk/sites/files/oxford/University_of_Oxford_Financial_Statements_2023-24.pdf","The main page often links to a news item announcing the latest release."
"University of Cambridge","www.cam.ac.uk","https://www.finance.admin.cam.ac.uk/about/annual-accounts","https://www.finance.admin.cam.ac.uk/sites/www.finance.admin.cam.ac.uk/files/uoc_reports_and_financial_statements_2024_0.pdf","Contains an archive of reports dating back several years."
"Imperial College London","www.imperial.ac.uk","https://www.imperial.ac.uk/about/leadership-and-strategy/annual-report/","https://www.imperial.ac.uk/media/imperial-college/administration-and-support-services/finance/public/Annual-Report-2023-24-web.pdf","The page includes an archive of past reports."
"University College London (UCL)","www.ucl.ac.uk","https://www.ucl.ac.uk/finance/about-us/finance-related-strategies-reports-and-statements","https://www.ucl.ac.uk/finance/file/4195","Contains financial strategy documents and tax strategies."
"London School of Economics (LSE)","www.lse.ac.uk","https://info.lse.ac.uk/staff/divisions/Finance-Division/annual-accounts/financial-statements","https://info.lse.ac.uk/staff/divisions/Finance-Division/Assets/Documents/Annual-Accounts/Financial-Statements-2023-24.pdf","Archive available back to 2001."
"University of Edinburgh","www.ed.ac.uk","https://uoe-finance.ed.ac.uk/accounts","https://uoe-finance.ed.ac.uk/sites/default/files/2025-01/ARA%2024.pdf","Narrative content is also available in HTML format on the site."
"King's College London","www.kcl.ac.uk","https://www.kcl.ac.uk/about/governance-policies-and-procedures/financial-information","https://www.kcl.ac.uk/assets/aboutkings/pdf/statements/financial-statements-2023-24.pdf","Includes tax strategy and trade union facility time data."
"University of Manchester","www.manchester.ac.uk","https://www.manchester.ac.uk/investors/","https://documents.manchester.ac.uk/display.aspx?DocID=74272","Provides a clear list of PDFs for the last decade."
"University of Bristol","www.bristol.ac.uk","https://www.bristol.ac.uk/directory/finance/about/annual-reports-and-financial-statements/","https://www.bristol.ac.uk/media-library/sites/finance/documents/annual-report-and-financial-statements-2024.pdf","Includes an overview of the institution's performance."
"University of Glasgow","www.gla.ac.uk","https://www.gla.ac.uk/myglasgow/finance/financialstatements/","https://www.gla.ac.uk/media/Media_1065783_smxx.pdf","Simple directory of PDF links."
"University of Warwick","www.warwick.ac.uk","https://warwick.ac.uk/services/finance/resources/accounts/","https://warwick.ac.uk/services/finance/resources/accounts/2023-24_financial_statements.pdf","Includes an archive of accounts."
"Durham University","www.durham.ac.uk","https://www.durham.ac.uk/about-us/professional-services/finance/financial-statements/","https://www.durham.ac.uk/media/durham-university/professional-services/finance-service/7724_DU_Annual_Report_2024_Accessible_Final_V2.pdf","Found within the Professional Services section."
"University of Sheffield","www.sheffield.ac.uk","https://sheffield.ac.uk/finance/annual-report-financial-statements","https://www.sheffield.ac.uk/media/56576/download?attachment","Offers downloads from 2000 to present."
"University of Birmingham","www.birmingham.ac.uk","https://www.birmingham.ac.uk/university/about/annual-accounts.aspx","https://www.birmingham.ac.uk/documents/university/annual-accounts/2023-2024-financial-statements.pdf","Page includes 'Financial Statement' PDFs."
"University of Leeds","www.leeds.ac.uk","https://finance.leeds.ac.uk/key-information/","https://finance.leeds.ac.uk/wp-content/uploads/sites/68/2024/11/University-of-Leeds-Annual-Report-and-Accounts-2023-24.pdf","Located under the Finance service pages."
