University,Country,Domain,Year,URL
Anglia Ruskin University,England,www.aru.ac.uk,N/A,https://www.aru.ac.uk/about-us/governance/strategy-and-leadership/annual-report-and-accounts
University of Bedfordshire,England,www.beds.ac.uk,N/A,https://www.beds.ac.uk/about-us/our-governance/quality/external-examining/annual-reports-fees-and-expenses/
University College Birmingham,England,www.birmingham.ac.uk,2016,https://www.birmingham.ac.uk/Documents/finance/UoB-Annual-Accounts-2016–17.pdf
University College Birmingham,England,www.birmingham.ac.uk,2001,https://www.birmingham.ac.uk/Documents/university/accounts/accounts2001.pdf
University College Birmingham,England,www.birmingham.ac.uk,N/A,https://www.birmingham.ac.uk/Documents/finance/Annual-Accounts-13-14.pdf
University College Birmingham,England,www.birmingham.ac.uk,N/A,https://www.birmingham.ac.uk/Documents/college-les/gees/inflame/consortium/tips-reporting-guidelines.pdf
University of Birmingham,England,www.birmingham.ac.uk,2023,https://www.birmingham.ac.uk/documents/finance/uob-annual-report-and-accounts-2023-24.docx
University of Birmingham,England,www.birmingham.ac.uk,2016,https://www.birmingham.ac.uk/Documents/finance/UoB-Annual-Accounts-2016–17.pdf
University of Birmingham,England,www.birmingham.ac.uk,N/A,https://www.birmingham.ac.uk/university/leadership/governance/council/accounts
University of Birmingham,England,www.birmingham.ac.uk,N/A,https://www.birmingham.ac.uk/Documents/finance/Annual-Accounts-13-14.pdf
University of Birmingham,England,www.birmingham.ac.uk,N/A,https://www.birmingham.ac.uk/Documents/college-les/gees/inflame/consortium/tips-reporting-guidelines.pdf
Birmingham City University,England,www.birmingham.ac.uk,2001,https://www.birmingham.ac.uk/Documents/university/accounts/accounts2001.pdf
Birmingham City University,England,www.birmingham.ac.uk,N/A,https://www.birmingham.ac.uk/Documents/finance/Annual-Accounts-13-14.pdf
Birmingham City University,England,www.birmingham.ac.uk,N/A,https://www.birmingham.ac.uk/Documents/college-les/gees/inflame/consortium/tips-reporting-guidelines.pdf
University of Bolton,England,research-information.bris.ac.uk,2001,https://research-information.bris.ac.uk/en/publications/annual-report-on-asylum-and-migration-2001
University of Bolton,England,research-information.bris.ac.uk,N/A,https://research-information.bris.ac.uk/en/publications/annual-reports-on-the-progress-of-chemistry
University of Bolton,England,research-information.bris.ac.uk,N/A,https://research-information.bris.ac.uk/en/activities/annual-reports-section-a-inorganic-chemistry-journal
University of Bradford,England,www.bradford.ac.uk,2023,https://www.bradford.ac.uk/media-v8/site/governance/policies-and-statements/financial-statements/Annual-Report-and-Financial-Statements-2022-2023-(Accessible).pdf
University of Bradford,England,www.bradford.ac.uk,2014,https://www.bradford.ac.uk/media-v8/site/governance/policies-and-statements/financial-statements/Financial-Statements-2014-15.pdf
University of Bradford,England,www.bradford.ac.uk,N/A,https://www.bradford.ac.uk/about/legal-and-governance/policies-statements/financial-statements/
University of Brighton,England,www.brighton.ac.uk,2014,https://www.brighton.ac.uk/_pdf/research/health/centre-for-health-research-annual-report-19th-december-2014[1].pdf
University of Bristol,England,www.bristol.ac.uk,N/A,https://www.bristol.ac.uk/directory/finance/about/annual-reports-and-financial-statements/
Buckinghamshire New University,England,www.bucks.ac.uk,2021,https://www.bucks.ac.uk/sites/default/files/2021-03/BF0803+Financial+Statement+2020+FINAL.pdf
University of Cambridge,England,www.cam.ac.uk,2019,https://www.cam.ac.uk/system/files/reports_and_financial_statements_2019_final.pdf
University of Central Lancashire,England,www.tlc.ac.uk,2023,https://www.tlc.ac.uk/wp-content/uploads/2023/09/TLC-SDF-Evaluation-Final-Report-July-2023.pdf
Courtauld Institute of Art,England,courtauld.ac.uk,2025,https://courtauld.ac.uk/wp-content/uploads/2025/01/Annual-Report-and-Financial-Statements-for-2023-24.pdf
Courtauld Institute of Art,England,courtauld.ac.uk,2023,https://courtauld.ac.uk/wp-content/uploads/2023/12/Courtauld-Annual-Report-and-Financial-Statements-2022-23-SIGNED.pdf
Courtauld Institute of Art,England,courtauld.ac.uk,2021,https://courtauld.ac.uk/wp-content/uploads/2021/12/Annual-Report-20-21.pdf
Courtauld Institute of Art,England,courtauld.ac.uk,N/A,https://courtauld.ac.uk/about-us/governance/annual-reports/
University of Cumbria,England,www.advance-he.ac.uk,2024,https://www.advance-he.ac.uk/sites/default/files/2024-12/Advance_HE_Annual_Report_and_Accounts_2023-24-Signed.pdf
De Montfort University,England,www.dmu.ac.uk,N/A,https://www.dmu.ac.uk/governance/finance/taxation.aspx
